SC,TO,Action,Location,timestamp_start,timestamp_end,duration_visit
SC001,TO_CO_TFTU000057,DROP,at WS012.01,2024-11-14 10:47:38,2024-11-14 10:48:37,0 days 00:00:59
SC006,TO_CO_TFTU000135,PICK,at QC006,2024-11-14 10:47:39,2024-11-14 10:48:39,0 days 00:01:00
SC007,TO_CO_TFTU000132,PICK,at QC003,2024-11-14 10:47:39,2024-11-14 10:48:39,0 days 00:01:00
SC020,TO_CO_TFTU000137,DROP,at YARD001.29,2024-11-14 10:47:44,2024-11-14 10:48:44,0 days 00:01:00
SC013,TO_CO_TFTU000025,PICK,at QC006,2024-11-14 10:47:50,2024-11-14 10:49:18,0 days 00:01:28
SC012,TO_CO_TFTU000139,PICK,at QC003,2024-11-14 10:48:06,2024-11-14 10:49:24,0 days 00:01:18
SC010,TO_CO_TFTU000131,PICK,at RAIL001.20,2024-11-14 10:48:06,2024-11-14 10:49:07,0 days 00:01:01
SC016,TO_CO_TFTU000130,DROP,at YARD001.04,2024-11-14 10:48:09,2024-11-14 10:49:10,0 days 00:01:01
SC015,TO_CO_TFTU000138,DROP,at YARD001.38,2024-11-14 10:48:11,2024-11-14 10:49:12,0 days 00:01:01
SC004,TO_CO_TFTU000142,DROP,at YARD001.50,2024-11-14 10:48:28,2024-11-14 10:49:29,0 days 00:01:01
SC014,TO_CO_TFTU000147,PICK,at QC005,2024-11-14 10:48:33,2024-11-14 10:49:34,0 days 00:01:01
SC002,TO_CO_TFTU000124,PICK,at QC005,2024-11-14 10:48:48,2024-11-14 10:49:48,0 days 00:01:00
SC019,TO_CO_TFTU000106,DROP,at WS010.01,2024-11-14 10:49:00,2024-11-14 10:50:00,0 days 00:01:00
SC007,TO_CO_TFTU000132,DROP,at YARD001.31,2024-11-14 10:49:03,2024-11-14 10:50:03,0 days 00:01:00
SC020,TO_CO_TFTU000146,PICK,at QC003,2024-11-14 10:49:04,2024-11-14 10:50:05,0 days 00:01:01
SC018,TO_CO_TFTU000129,DROP,at YARD001.03,2024-11-14 10:49:11,2024-11-14 10:50:11,0 days 00:01:00
SC003,TO_CO_TFTU000088,PICK,at QC005,2024-11-14 10:49:25,2024-11-14 10:50:35,0 days 00:01:10
SC005,TO_CO_TFTU000140,DROP,at WS004.01,2024-11-14 10:49:29,2024-11-14 10:50:29,0 days 00:01:00
SC009,TO_CO_TFTU000151,PICK,at QC006,2024-11-14 10:49:29,2024-11-14 10:50:29,0 days 00:01:00
SC011,TO_CO_TFTU000153,PICK,at QC004,2024-11-14 10:49:34,2024-11-14 10:50:34,0 days 00:01:00
SC016,TO_CO_TFTU000109,PICK,at RAIL001.02,2024-11-14 10:49:37,2024-11-14 10:50:37,0 days 00:01:00
SC004,TO_CO_TFTU000119,PICK,at QC006,2024-11-14 10:49:40,2024-11-14 10:50:41,0 days 00:01:01
SC012,TO_CO_TFTU000139,DROP,at YARD001.27,2024-11-14 10:49:42,2024-11-14 10:50:41,0 days 00:00:59
SC015,TO_CO_TFTU000156,PICK,at QC006,2024-11-14 10:49:45,2024-11-14 10:51:29,0 days 00:01:44
